Species,Tl_max,Bl_max,Wt_max,Tl_min,Bl_min,Wt_min,Tl_M,Bl_M,Wt_M,Tl_F,Bl_F,Wt_F,Tl_min_M,Tl_max_M,Bl_min_M,Bl_max_M,Wt_min_M,Wt_max_M,Tl_min_F,Tl_max_F,Bl_min_F,Bl_max_F,Wt_min_F,Wt_max_F,Tl_Av_M,Bl_Av_M,Wt_Av_M,Bl_Av_F,Tl_Av_F,Wt_Av_F,Locomotor_mode,Prehensility,Habitat
Notoryctes_caurinus,18,93,50,16,86,30,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Notoryctes_typhlops,24,115,70,13,69,40,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Macrotis_lagotis,284,470,1800,200,295,900,245,425,1750,239,340,950,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Isoodon_obesulus,136.5,345,1525,90,290,450,117.5,330,1175,109,305,800,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Isoodon_auratus,121,295,635,84,190,275,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Isoodon_macrourus,200,440,2400,85,300,500,152.5,385,1800,132.5,355,1100,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Perameles_bougainville,103,224,329.5,82.5,176,166.5,90.5,202.5,224,95,197.5,272,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Perameles_gunnii,102.5,350,1275,70,270,500,90,310,800,82.5,310,975,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Perameles_nasuta,160,445,1330,120,310,520,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Chaeropus_ecaudatus,150,260,200,100,230,200,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Echymipera_rufescens,99,447.5,1712.5,75,246.5,412.5,91,379,1375,83,315,750,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Thylacinus_cynocephalus,650,1300,35000,500,1000,15000,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Myrmecobius_fasciatus,210,278.5,699.5,132.5,211,355,166,256,578.5,176.5,233.5,476,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Planigale_maculata,78.5,86.5,19.6,46,51.35,3.75,66,70.85,13,58.5,67,10.35,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Planigale_ingrami,66.5,67.5,6.2,52,49.5,2.7,60.5,60.5,4.7,58,56.5,4.2,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Planigale_gilesi,67.5,75,12.5,55,60,7.25,62.5,70,12.75,60,65,7,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Planigale_tenuirostris,62.5,72.5,8,51,50,4.25,58.5,62.5,6.75,55,60,5.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_crassicaudata,70,90,20,40,60,10,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_bindi,101,82,20,61.5,55,12,83.5,71,16,79,66,16,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_virginiae,123.5,134,46,95,93,24.5,117.5,115.5,44.5,101,111.5,26,,,,,,,,,,,,,,,,,,,Scansorial,No,Forest_shrub
Sminthopsis_douglasi,125,130,65,115,120,45,125,132.5,60,115,117.5,50,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_macroura,110,100,25,80,70,15,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Ningaui_timealeyi,81.5,70.5,8.5,60,56,3.55,79,66,6.55,62.5,60.5,5.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Ningaui_yvonneae,71,81,14,53,48,6,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Ningaui_ridei,71,75,10.5,59,57,6.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_longicaudata,210,95,25,190,80,15,210,90,20,190,85,20,,,,,,,,,,,,,,,,,,,Scansorial,No,Rocky
Antechinomys_laniger,145,97.5,25,100,75,25,125,90,30,120,82.5,20,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_griseoventer,96.5,91,22,65.5,66.5,14.5,82,81,19.5,80,76.5,17,,,,,,,,,,,,,,,,,,,Scansorial,No,Forest_shrub
Sminthopsis_aitkeni,100,87.5,20,87.5,78,15,98,88.5,22.5,89.5,77,12.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_granulipes,66,88,37,56,69,18,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_hirtipes,101,83,19.5,72,72,13,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Scansorial,No,Arid
Sminthopsis_youngsoni,68,71,12,62,66,8.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Scansorial,No,Arid
Sminthopsis_psammophila,113,114,48.5,106,85,25.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_ooldea,92.5,85,16,62.5,57.5,8.5,80,72.5,13,75,70,11.5,,,,,,,,,,,,,,,,,,,Scansorial,No,Arid
Sminthopsis_archeri,96,96,14,87,90.5,14,98.5,102.5,14,84.5,84,14,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Sminthopsis_gilberti,92,92,25,75,81,14,83.5,86.5,19.5,83.5,86.5,19.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_murina,95.5,98,25,69,70,13,84.5,90,22,80,78,16,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_butleri,90,88,30,90,88,15,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_dolichura,103,95.5,20.5,86,63,10.5,98.5,81,15.5,90.5,77.5,15.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Sminthopsis_leucopus,98,114.5,32,70,74.5,16,86.5,97,24,81.5,92,24,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Phascogale_tapoatafa,230,242,261.5,167.5,154,140.5,204.5,210.5,243,193,185.5,159,,,,,,,,,,,,,,,,,,,Arboreal,No,Forest_shrub
Phascogale_calura,144.5,113.5,58,126.5,99,38.5,139.5,113.5,53.5,131.5,99,43,,,,,,,,,,,,,,,,,,,Arboreal,No,Forest_shrub
Antechinus_minimus,92.5,128.5,98.5,66,100.5,45,82.5,121.5,89.5,76,107.5,54,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Antechinus_swainsonii,110.5,164,139,77.5,96,40,100.5,145.5,110.5,87.5,114.5,68.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Rainforest
Antechinus_godmani,127.5,143,100.5,95.5,113.5,45,121,133,85.5,102,123.5,60,,,,,,,,,,,,,,,,,,,Scansorial,No,Rainforest
Antechinus_stuartii,120,128.5,55.5,67.5,77,23,97,111,50,90.5,94.5,28.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Antechinus_agilis,109.5,126,32.5,61.5,63.5,18,89.5,94.5,30,81.5,95,20.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Antechinus_flavipes,129,146,65.5,67.5,89.5,23.5,110.5,129,52.5,86,106.5,36.5,,,,,,,,,,,,,,,,,,,Scansorial,No,Forest_shrub
Antechinus_bellus,118,139,53.5,99,115.5,34,115.5,134.5,54,101.5,120,33.5,,,,,,,,,,,,,,,,,,,Scansorial,No,Arid
Antechinus_leo,132.5,148,99,104,125.5,49.5,133.5,151,95.5,103,122.5,53,,,,,,,,,,,,,,,,,,,Scansorial,No,Rainforest
Dasyuroides_byrnei,160,170,157.5,110,137.5,77.5,NA,NA,NA,NA,NA,NA,110,160,140,180,85,175,110,160,135,160,70,140,,165,,150,,,Terrestrial,No,Arid
Pseudantechinus_bilarni,122.5,115,37.5,90,90,17.5,107.5,102.5,30,105,102.5,25,,,,,,,,,,,,,,,,,,,Terrestrial,No,Rocky
Pseudantechinus_ningbing,90,95,22.5,77.5,85,17.5,85,95,22.5,82.5,85,17.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Rocky
Dasycercus_blythi,,,,,,,,,,,,,75,100,135,165,70,110,60,90,120,140,60,90,,,,,,,,,
Dasycercus_cristicauda,147.5,170,152.5,100,105,87.5,102.5,180,147.5,145,95,92.5,80,125,120,230,110,185,80,110,120,170,65,120,,,,,,,Terrestrial,No,Arid
Pseudantechinus_woolleyae,80,108,47.5,75,103.5,32.5,75,107.5,42.5,80,104,37.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Rocky
Pseudantechinus_roryi,88,90,29,66,80,18,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Rocky
Pseudantechinus_macdonnellensis,82.5,105,42.5,75,95,22.5,77.5,100,35,80,100,30,,,,,,,,,,,,,,,,,,,Terrestrial,No,Rocky
Pseudantechinus_mimulus,73,90.5,21.5,61,71.5,14,68,85,16,66,77,19.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Rocky
Parantechinus_apicalis,142.5,105,99,142.5,100,50,145,110,92.5,140,95,56.5,,,,,,,,,,,,,,,,,,,Terrestrial,No,Arid
Dasykaluta_rosamondae,67.5,105,35,57.5,92.5,22.5,NA,NA,NA,NA,NA,NA,55,70,95,110,25,40,60,65,90,100,20,30,,,,,,,Terrestrial,No,Arid
Sarcophilus_harrisii,251,611,11500,251,611,6500,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Terrestrial,No,Forest_shrub
Dasyurus_hallucatus,322.5,340,905,212,259.5,290,283.5,320,730,251,279.5,465,,,,,,,,,,,,,,,,,,,Scansorial,No,Rocky
Dasyurus_maculatus,485,604.5,3750,355,365,1200,460,569.5,3250,380,400,1700,,,,,,,,,,,,,,,,,,,Terrestrial,No,Rainforest
